DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
LGAT,RB,B04477,LGAT,016,,2011-11-11,2011-11-04 10:12:09
LGAT,RB,B04491,Q69,941,0,2011-11-11,2011-11-10 23:58:54
LGAT,RB,B05085,Q53,347,0,2011-11-11,2011-11-10 11:16:00
LGAT,RB,B05090,QM12,203,0,2011-11-11,2011-11-10 23:58:37
LGAT,RB,B05095,Q47,746,2,2011-11-11,2011-11-10 23:59:00
LGAT,RB,B05103,QM24,405,0,2011-11-11,2011-11-10 23:58:31
LGAT,RB,B05118,Q39,917,0,2011-11-11,2011-11-10 23:58:47
LGAT,RB,B05133,Q23,313,0,2011-11-11,2011-11-10 23:58:42
LGAT,RB,B05143,Q47,743,0,2011-11-11,2011-11-04 09:41:39
LGAT,RB,B05217,Q102,205,0,2011-11-11,2011-11-10 23:58:36
LGAT,RB,B05217,Q102,205,0,2011-11-11,2011-11-05 08:45:33
LGAT,RB,B05207,Q18,809,0,2011-11-11,2011-11-10 23:58:38
LGAT,RB,B05197,Q33,347,0,2011-11-11,2011-11-10 23:59:03
LGAT,RB,B05198,QM24,401,0,2011-11-11,2011-11-04 09:42:06
LGAT,RB,B05307,Q39,942,2,2011-11-11,2011-11-10 23:59:06
LGAT,RB,B05323,Q18,805,0,2011-11-11,2011-11-05 08:45:30
LGAT,RB,B05311,Q47,710,0,2011-11-11,2011-11-10 23:58:33
